code	name	shortFileName	action	object
331318	Other Aluminum Rolling, Drawing, and Extruding	AluminumRolling	Refine	Aluminum Rolling
331410	Nonferrous Metal (except Aluminum) Smelting and Refining	NonferrousMetal	Refine	Nonferrous Metal
331420	Copper Rolling, Drawing, Extruding, and Alloying	CopperRolling	Refine	Copper Rolling
331491	Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding	NonferrousMetal	Refine	Nonferrous Metal
331492	Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)	SecondarySmelting	Refine	Secondary Smelting
331511	Iron Foundries	IronFoundries	Cast	Iron Foundries
331512	Steel Investment Foundries	SteelInvestment	Cast	Steel Investment
331513	Steel Foundries (except Investment)	SteelFoundries	Cast	Steel Foundries
331523	Nonferrous Metal Die-Casting Foundries	NonferrousMetal	Cast	Nonferrous Metal
331524	Aluminum Foundries (except Die-Casting)	AluminumFoundries	Cast	Aluminum Foundries
331529	Other Nonferrous Metal Foundries (except Die-Casting)	NonferrousMetal	Cast	Nonferrous Metal
332111	Iron and Steel Forging	IronSteel	Forge	Iron Steel
332112	Nonferrous Forging	NonferrousForging	Forge	Nonferrous Forging
332114	Custom Roll Forming	CustomRoll	Forge	Custom Roll
332117	Powder Metallurgy Part Manufacturing	PowderMetallurgy	Forge	Powder Metallurgy
332119	Metal Crown, Closure, and Other Metal Stamping (except Automotive)	MetalCrown	Forge	Metal Crown
332215	Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing	MetalKitchen	Manufacture	Metal Kitchen
332216	Saw Blade and Handtool Manufacturing	SawBlade	Manufacture	Saw Blade
332311	Prefabricated Metal Building and Component Manufacturing	PrefabricatedMetal	Fabricate	Prefabricated Metal
332312	Fabricated Structural Metal Manufacturing	FabricatedStructural	Fabricate	Fabricated Structural
332313	Plate Work Manufacturing	PlateWork	Fabricate	Plate Work
332321	Metal Window and Door Manufacturing	MetalWindow	Fabricate	Metal Window
332322	Sheet Metal Work Manufacturing	SheetMetal	Fabricate	Sheet Metal
332323	Ornamental and Architectural Metal Work Manufacturing	OrnamentalArchitectural	Fabricate	Ornamental Architectural
332410	Power Boiler and Heat Exchanger Manufacturing	PowerBoiler	Manufacture	Power Boiler
332420	Metal Tank (Heavy Gauge) Manufacturing	MetalTank	Manufacture	Metal Tank
332431	Metal Can Manufacturing	MetalCan	Manufacture	Metal Can
332439	Other Metal Container Manufacturing	MetalContainer	Manufacture	Metal Container
332510	Hardware Manufacturing	Hardware	Manufacture	Hardware
332613	Spring Manufacturing	Spring	Manufacture	Spring
